Type of championship,Frist team,Secend team,Match time,Score,Date
دوري أبطال آسيا,ناساف كارشي,العين,16:00,0 - 0,2024-02-14
دوري أبطال آسيا,الفيحاء,النصر,20:00,0 - 1,2024-02-14
الدوري الإيطالي,بولونيا,فيورنتينا,20:00,2 - 0,2024-02-14
الدوري المغربي,نهضة بركان,الاتحاد التوركي,17:00,0 - 0,2024-02-14
الدوري المغربي,نهضة الزمامرة,الجيش الملكي,17:00,0 - 1,2024-02-14
الدوري المغربي,الرجاء البيضاوي,المغرب الفاسي,19:00,1 - 0,2024-02-14
الدوري المغربي,الشباب الرياضي السالمي,الوداد البيضاوي,21:00,3 - 1,2024-02-14
الدوري المصري,بلدية المحلة,مودرن فيوتشر,16:00,1 - 0,2024-02-15
الدوري المصري,الإسماعيلي,سيراميكا كليوباترا,19:00,2 - 1,2024-02-15
الدوري الأوروبي,فينورد,روما,19:45,1 - 1,2024-02-15
الدوري الأوروبي,يونج بويز,سبورتينج لشبونة,19:45,1 - 3,2024-02-15
الدوري الأوروبي,جالاتا سراي,سبارتا براج,19:45,3 - 2,2024-02-15
الدوري الأوروبي,شاختار دونيتسك,مارسيليا,19:45,2 - 2,2024-02-15
الدوري الأوروبي,ميلان,رين,22:00,3 - 0,2024-02-15
الدوري الأوروبي,لانس,فرايبورج,22:00,0 - 0,2024-02-15
الدوري الأوروبي,بنفيكا,تولوز,22:00,2 - 1,2024-02-15
الدوري الأوروبي,سبورتينج براجا,كاراباج اجدام,22:00,2 - 4,2024-02-15
دوري أبطال آسيا,أولسان هيونداي,فنتفوريت كوفو,12:00,3 - 0,2024-02-15
دوري أبطال آسيا,نافباخور نامانجان,الاتحاد,16:00,0 - 0,2024-02-15
دوري أبطال آسيا,سباهان اصفهان,الهلال,18:00,1 - 3,2024-02-15
الدوري السعودي,أبها,التعاون,16:00,1 - 1,2024-02-15
الدوري السعودي,الخليج,الاتفـــــاق,19:00,0 - 2,2024-02-15
دوري المؤتمر الأوروبي,شتورم جراتس,سلوفان براتيسلافا,19:45,4 - 1,2024-02-15
دوري المؤتمر الأوروبي,سان جيلواز,آ. فرانكفورت,19:45,2 - 2,2024-02-15
دوري المؤتمر الأوروبي,أوليمبياكوس,فيرينكفاروسي,19:45,1 - 0,2024-02-15
دوري المؤتمر الأوروبي,مولده,ليجيا وارسو,19:45,3 - 2,2024-02-15
دوري المؤتمر الأوروبي,مكابي حيفا,جينت,22:00,1 - 0,2024-02-15
دوري المؤتمر الأوروبي,سيرفيت جنيف,لودوجوريتس,22:00,0 - 0,2024-02-15
دوري المؤتمر الأوروبي,ريال بيتيس,دينامو زغرب,22:00,0 - 1,2024-02-15
دوري المؤتمر الأوروبي,أياكس امستردام,جليمت,22:00,2 - 2,2024-02-15
الدوري المغربي,مولودية وجدة,اتحاد طنجة,19:00,1 - 1,2024-02-15
الدوري المغربي,شباب المحمدية,يوسفية برشيد,21:00,2 - 2,2024-02-15
دوري أبطال إفريقيا,شباب بلوزداد,الأهلي,21:00,0 - 0,2024-02-16
الدوري الإسباني,فياريال,خيتافي,22:00,1 - 1,2024-02-16
الدوري السعودي,ضمك,الشباب,16:00,0 - 1,2024-02-16
الدوري السعودي,الأخدود,أهلي جدة,19:00,3 - 2,2024-02-16
الدوري السعودي,الوحدة,الطــائي,19:00,1 - 1,2024-02-16
الدوري الإيطالي,تورينو,ليتشي,20:00,2 - 0,2024-02-16
الدوري الإيطالي,إنتر ميلان,ساليرنيتانا,22:00,4 - 0,2024-02-16
الدوري الألماني,كولن,فيردر بريمن,21:30,0 - 1,2024-02-16
الدوري الفرنسي,ليون,نيس,22:00,1 - 0,2024-02-16
الدوري المغربي,حسنية اغادير,الفتح الرباطي,21:00,1 - 3,2024-02-16
الدوري التركي,قاسم باشا,فاتح كاراجومروك,19:00,1 - 1,2024-02-16
الدوري البرتغالي,فاماليكاو,ريو آفي,22:15,2 - 1,2024-02-16
الدوري الإنجليزي,برينتفورد,ليفربول,14:30,1 - 4,2024-02-17
الدوري الإنجليزي,نوتينجهام فورست,وست هام يونايتد,17:00,2 - 0,2024-02-17
الدوري الإنجليزي,فولهام,أستون فيلا,17:00,1 - 2,2024-02-17
الدوري الإنجليزي,نيوكاسل,بورنموث,17:00,2 - 2,2024-02-17
الدوري الإنجليزي,بيرنلي,أرسنال,17:00,0 - 5,2024-02-17
الدوري الإنجليزي,توتنهام هوتسبر,وولفرهامبتون,17:00,1 - 2,2024-02-17
الدوري الإنجليزي,مانشستر سيتي,تشيلسي,19:30,1 - 1,2024-02-17
الدوري الإسباني,اتلتيكو مدريد,لاس بالماس,15:00,5 - 0,2024-02-17
الدوري الإسباني,أوساسونا,قادش,17:15,2 - 0,2024-02-17
الدوري الإسباني,سيلتا فيجو,برشلونة,19:30,1 - 2,2024-02-17
الدوري الإسباني,فالنسيا,اشبيلية,22:00,0 - 0,2024-02-17
الدوري السعودي,الحزم,الفيحاء,16:00,1 - 3,2024-02-17
الدوري السعودي,النصر,الفتح,19:00,2 - 1,2024-02-17
الدوري الإيطالي,نابولي,جنوى,16:00,1 - 1,2024-02-17
الدوري الإيطالي,هيلاس فيرونا,يوفنتوس,19:00,2 - 2,2024-02-17
الدوري الإيطالي,أتالانتا,ساسولو,21:45,3 - 0,2024-02-17
الدوري الألماني,هايدنهايم,باير ليفركوزن,16:30,1 - 2,2024-02-17
الدوري الألماني,دارمشتات,شتوتجارت,16:30,1 - 2,2024-02-17
الدوري الألماني,هوفنهايم,يونيون برلين,16:30,0 - 1,2024-02-17
الدوري الألماني,فولفسبورج,بروسيا دورتموند,16:30,1 - 1,2024-02-17
الدوري الألماني,ماينز,أوجسبورج,16:30,1 - 0,2024-02-17
الدوري الألماني,لايبزيج,مونشنجلادباخ,19:30,2 - 0,2024-02-17
الدوري الفرنسي,ليل,لوهافر,18:00,3 - 0,2024-02-17
الدوري الفرنسي,نانت,باريس سان جيرمان,22:00,0 - 2,2024-02-17
الدوري المغربي,أولمبيك آسفي,الشباب الرياضي السالمي,17:00,1 - 0,2024-02-17
الدوري المغربي,الوداد البيضاوي,نهضة بركان,19:00,1 - 0,2024-02-17
الدوري المغربي,المغرب الفاسي,نهضة الزمامرة,19:00,2 - 3,2024-02-17
الدوري المغربي,الاتحاد التوركي,الرجاء البيضاوي,21:00,0 - 0,2024-02-17
دوري القسم الثاني-أ,السكة الحديد,بروكسي,15:00,2 - 0,2024-02-17
دوري القسم الثاني-أ,وادي دجلة,غزل المحلة,15:00,0 - 0,2024-02-17
دوري القسم الثاني-أ,حرس الحدود,راية الرياضي,15:00,1 - 1,2024-02-17
دوري القسم الثاني-أ,لافيينا أف سي,بتروجيت,15:00,1 - 1,2024-02-17
دوري القسم الثاني-أ,طنطا‏,القناة,15:00,1 - 0,2024-02-17
الدوري التركي,انطاليا سبور,إسطنبول سبور,12:30,2 - 2,2024-02-17
الدوري التركي,هاتاي سبور,سيفاسبور,15:00,1 - 1,2024-02-17
الدوري التركي,ريزه سبور,فنربخشة,18:00,1 - 3,2024-02-17
الدوري التونسي,البنزرتي,إتحاد بن قردان,15:00,2 - 0,2024-02-17
الدوري التونسي,اتحاد تطاوين,الأولمبي الباجي,15:00,0 - 0,2024-02-17
الدوري البرتغالي,شافيش,بوافيستا,17:30,2 - 1,2024-02-17
الدوري البرتغالي,بورتيمونينسي,فيتوريا جيماريش,20:00,1 - 1,2024-02-17
الدوري البرتغالي,بورتو,إستريلا,22:30,2 - 0,2024-02-17
الدوري المصري,إنبي,سموحة,16:00,0 - 0,2024-02-18
الدوري المصري,البنك الاهلي,زد,16:00,1 - 1,2024-02-18
الدوري المصري,بيراميدز,الاتحاد السكندري,19:00,1 - 0,2024-02-18
الدوري الإنجليزي,شيفيلد يونايتد,برايتون,16:00,0 - 5,2024-02-18
الدوري الإنجليزي,لوتون تاون,مانشستر يونايتد,18:30,1 - 2,2024-02-18
الدوري الإسباني,رايو فاييكانو,ريال مدريد,15:00,1 - 1,2024-02-18
الدوري الإسباني,غرناطه,الميريا,17:15,1 - 1,2024-02-18
الدوري الإسباني,مايوركا,ريال سوسيداد,19:30,1 - 2,2024-02-18
الدوري الإسباني,ريال بيتيس,ألافيس,22:00,0 - 0,2024-02-18
الدوري السعودي,الهلال,الرائد,16:00,3 - 1,2024-02-18
الدوري السعودي,الاتحاد,الرياض,19:00,2 - 0,2024-02-18
الدوري الإيطالي,لاتسيو,بولونيا,13:30,1 - 2,2024-02-18
الدوري الإيطالي,إمبولي,فيورنتينا,16:00,1 - 1,2024-02-18
الدوري الإيطالي,أودينيزي,كالياري,16:00,1 - 1,2024-02-18
الدوري الإيطالي,فروزينوني,روما,19:00,0 - 3,2024-02-18
الدوري الإيطالي,مونزا,ميلان,21:45,4 - 2,2024-02-18
الدوري الألماني,فرايبورج,آ. فرانكفورت,16:30,3 - 3,2024-02-18
الدوري الألماني,بوخوم,بايرن ميونيخ,18:30,3 - 2,2024-02-18
الدوري الفرنسي,ستراسبورج,لوريان,14:00,1 - 3,2024-02-18
الدوري الفرنسي,رين,كليرمونت,16:00,3 - 1,2024-02-18
الدوري الفرنسي,مونبيليه,ميتز,16:00,3 - 0,2024-02-18
الدوري الفرنسي,موناكو,تولوز,16:00,1 - 2,2024-02-18
الدوري الفرنسي,ريمس,لانس,18:05,1 - 1,2024-02-18
الدوري الفرنسي,بريست,مارسيليا,21:45,1 - 0,2024-02-18
الدوري المغربي,يوسفية برشيد,اتحاد طنجة,17:00,0 - 1,2024-02-18
الدوري المغربي,الجيش الملكي,مولودية وجدة,19:00,5 - 0,2024-02-18
الدوري المغربي,المغرب التطواني,شباب المحمدية,21:00,1 - 0,2024-02-18
الدوري التركي,ألانيا سبور,أضنة دمير سبور,12:30,3 - 3,2024-02-18
الدوري التركي,بينديكسبور,طرابزون سبور,15:00,0 - 2,2024-02-18
الدوري التركي,غازي عنتاب بي.بي.كي,سامسون سبور,15:00,1 - 1,2024-02-18
الدوري التركي,أنقرة جوتشو,جالاتا سراي,18:00,0 - 3,2024-02-18
الدوري التونسي,النجم الرياضي بالمتلوي,مستقبل المرسى,15:00,3 - 1,2024-02-18
الدوري التونسي,سليمان الرياضي,قوافل قفصة,15:00,2 - 0,2024-02-18
الدوري البرتغالي,كازا بيا,أروكا,17:30,1 - 0,2024-02-18
الدوري البرتغالي,إستوريل,جل فيسنتي,20:00,1 - 3,2024-02-18
الدوري البرتغالي,بنفيكا,فيزيلا,20:00,6 - 1,2024-02-18
الدوري البرتغالي,سبورتينج براجا,فيرنسي,22:30,2 - 1,2024-02-18
الدوري المصري,مودرن فيوتشر,المقاولون العرب,16:00,2 - 2,2024-02-19
الدوري المصري,الإسماعيلي,الزمالك,19:00,0 - 0,2024-02-19
الدوري الإنجليزي,ايفرتون,كريستال بالاس,22:00,1 - 1,2024-02-19
الدوري الإسباني,أتلتيك بلباو,جيرونا,22:00,3 - 2,2024-02-19
الدوري التركي,إسطنبول باشاكشهير,قيصري سبور,19:00,2 - 3,2024-02-19
الدوري التركي,بشكتاش,قونيا سبور,19:00,2 - 0,2024-02-19
الدوري البرتغالي,موريرنسي,سبورتينج لشبونة,22:15,0 - 2,2024-02-19
الدوري المصري,سيراميكا كليوباترا,الجونة,16:00,1 - 1,2024-02-20
الدوري المصري,الداخلية,فاركو,19:00,1 - 1,2024-02-20
الدوري المصري,المصري,بلدية المحلة,19:00,3 - 0,2024-02-20
الدوري الإنجليزي,مانشستر سيتي,برينتفورد,21:30,1 - 0,2024-02-20
دوري أبطال أوروبا,إنتر ميلان,اتلتيكو مدريد,22:00,1 - 0,2024-02-20
دوري أبطال أوروبا,إيندهوفن,بروسيا دورتموند,22:00,1 - 1,2024-02-20
دوري أبطال آسيا,كاواساكي فورنتال,شاندونج تايشان,10:00,2 - 4,2024-02-20
دوري أبطال آسيا,بوهانج,تشونبك هيونداي,12:00,1 - 1,2024-02-20
الدوري المغربي,الرجاء البيضاوي,حسنية اغادير,17:00,2 - 0,2024-02-20
الدوري المغربي,الشباب الرياضي السالمي,المغرب الفاسي,20:00,1 - 1,2024-02-20
دوري القسم الثاني-أ,جمهورية شبين,بترول أسيوط,15:00,0 - 0,2024-02-20
دوري القسم الثاني-أ,مكادي,النصر للتعدين,15:00,2 - 2,2024-02-20
دوري القسم الثاني-أ,أبو قير للاسمدة,النجوم,15:00,1 - 0,2024-02-20
دوري القسم الثاني-أ,مصر المقاصة,أسوان,15:00,1 - 2,2024-02-20
دوري القسم الثاني-أ,دكرنس,المصرية للاتصالات,15:00,0 - 0,2024-02-20
الدوري الإنجليزي,ليفربول,لوتون تاون,21:30,4 - 1,2024-02-21
دوري أبطال أوروبا,بورتو,أرسنال,22:00,1 - 0,2024-02-21
دوري أبطال أوروبا,نابولي,برشلونة,22:00,1 - 1,2024-02-21
دوري أبطال آسيا,فنتفوريت كوفو,أولسان هيونداي,11:00,1 - 2,2024-02-21
دوري أبطال آسيا,يوكوهاما مارينوس,بانكوك يونايتد,13:00,1 - 0,2024-02-21
دوري أبطال آسيا,العين,ناساف كارشي,18:00,2 - 1,2024-02-21
دوري أبطال آسيا,النصر,الفيحاء,20:00,2 - 0,2024-02-21
دوري المؤتمر الأوروبي,جينت,مكابي حيفا,19:00,1 - 1,2024-02-21
الدوري المغربي,الفتح الرباطي,المغرب التطواني,19:00,1 - 1,2024-02-21
الدوري المغربي,شباب المحمدية,أولمبيك آسفي,21:00,1 - 0,2024-02-21
الدوري الأوروبي,كاراباج اجدام,سبورتينج براجا,19:45,2 - 3,2024-02-22
الدوري الأوروبي,تولوز,بنفيكا,19:45,0 - 0,2024-02-22
الدوري الأوروبي,فرايبورج,لانس,19:45,3 - 2,2024-02-22
الدوري الأوروبي,رين,ميلان,19:45,3 - 2,2024-02-22
الدوري الأوروبي,مارسيليا,شاختار دونيتسك,22:00,3 - 1,2024-02-22
الدوري الأوروبي,سبارتا براج,جالاتا سراي,22:00,4 - 1,2024-02-22
الدوري الأوروبي,سبورتينج لشبونة,يونج بويز,22:00,1 - 1,2024-02-22
الدوري الأوروبي,روما,فينورد,22:00,1 - 1,2024-02-22
دوري أبطال آسيا,الاتحاد,نافباخور نامانجان,18:00,2 - 1,2024-02-22
دوري أبطال آسيا,الهلال,سباهان اصفهان,20:00,3 - 1,2024-02-22
دوري المؤتمر الأوروبي,دينامو زغرب,ريال بيتيس,19:45,1 - 1,2024-02-22
دوري المؤتمر الأوروبي,جليمت,أياكس امستردام,19:45,1 - 2,2024-02-22
دوري المؤتمر الأوروبي,لودوجوريتس,سيرفيت جنيف,19:45,0 - 1,2024-02-22
دوري المؤتمر الأوروبي,ليجيا وارسو,مولده,22:00,0 - 3,2024-02-22
دوري المؤتمر الأوروبي,فيرينكفاروسي,أوليمبياكوس,22:00,0 - 1,2024-02-22
دوري المؤتمر الأوروبي,آ. فرانكفورت,سان جيلواز,22:00,1 - 2,2024-02-22
دوري المؤتمر الأوروبي,سلوفان براتيسلافا,شتورم جراتس,22:00,0 - 1,2024-02-22
الدوري الإيطالي,تورينو,لاتسيو,21:45,0 - 2,2024-02-22
الدوري المغربي,اتحاد طنجة,الاتحاد التوركي,19:00,2 - 1,2024-02-22
الدوري المغربي,مولودية وجدة,يوسفية برشيد,21:00,1 - 1,2024-02-22
الدوري المصري,بلدية المحلة,سيراميكا كليوباترا,19:00,3 - 5,2024-02-23
دوري أبطال إفريقيا,الهلال السوداني,بترو أتليتكو,18:00,0 - 0,2024-02-23
دوري أبطال إفريقيا,ميدياما,الأهلي,18:00,0 - 1,2024-02-23
دوري أبطال إفريقيا,أسيك أبيدجـــــان,سيمبا,21:00,0 - 0,2024-02-23
الدوري الإسباني,ريال سوسيداد,فياريال,22:00,1 - 3,2024-02-23
تصفيات أفريقيا للسلة,كاب فيردي,أوغندا,12:00,78 - 73,2024-02-23
تصفيات أفريقيا للسلة,أنجولا,غينيا,15:00,76 - 70,2024-02-23
تصفيات أفريقيا للسلة,كوت ديفوار,مدغشقر,16:00,77 - 69,2024-02-23
تصفيات أفريقيا للسلة,تونس,كينيا,18:00,90 - 69,2024-02-23
تصفيات أفريقيا للسلة,مصر,أفريقيا الوسطى,19:00,76 - 61,2024-02-23
تصفيات أفريقيا للسلة,نيجيريا,ليبيا,21:00,82 - 89,2024-02-23
الدوري السعودي,التعاون,الأخدود,16:00,3 - 1,2024-02-23
الدوري السعودي,الرياض,الرائد,16:00,1 - 1,2024-02-23
الدوري السعودي,الفتح,ضمك,19:00,1 - 1,2024-02-23
الدوري الإيطالي,بولونيا,هيلاس فيرونا,21:45,2 - 0,2024-02-23
الدوري الألماني,باير ليفركوزن,ماينز,21:30,2 - 1,2024-02-23
الدوري الفرنسي,ميتز,ليون,22:00,1 - 2,2024-02-23
الدوري التركي,سامسون سبور,ريزه سبور,19:00,3 - 0,2024-02-23
الدوري البرتغالي,أروكا,فاماليكاو,22:15,3 - 2,2024-02-23
الدوري الإنجليزي,أستون فيلا,نوتينجهام فورست,17:00,4 - 2,2024-02-24
الدوري الإنجليزي,مانشستر يونايتد,فولهام,17:00,1 - 2,2024-02-24
الدوري الإنجليزي,برايتون,ايفرتون,17:00,1 - 1,2024-02-24
الدوري الإنجليزي,كريستال بالاس,بيرنلي,17:00,3 - 0,2024-02-24
الدوري الإنجليزي,بورنموث,مانشستر سيتي,19:30,0 - 1,2024-02-24
الدوري الإنجليزي,أرسنال,نيوكاسل,22:00,4 - 1,2024-02-24
دوري أبطال إفريقيا,مازيمبي,بيراميدز,15:00,3 - 0,2024-02-24
دوري أبطال إفريقيا,جوانينج جالاكسي,الوداد البيضاوي,15:00,0 - 1,2024-02-24
دوري أبطال إفريقيا,إف سي نواذيبو,ماميلودي صنداونز,18:00,0 - 2,2024-02-24
دوري أبطال إفريقيا,يانج افريكانز,شباب بلوزداد,18:00,4 - 0,2024-02-24
دوري أبطال إفريقيا,النجم الساحلى,الترجى الرياضي,21:00,0 - 2,2024-02-24
الدوري الإسباني,برشلونة,خيتافي,17:15,4 - 0,2024-02-24
الدوري الإسباني,ألافيس,مايوركا,19:30,1 - 1,2024-02-24
الدوري الإسباني,الميريا,اتلتيكو مدريد,22:00,2 - 2,2024-02-24
تصفيات أفريقيا للسلة,كينيا,أنجولا,12:00,58 - 88,2024-02-24
تصفيات أفريقيا للسلة,أوغندا,نيجيريا,15:00,72 - 62,2024-02-24
تصفيات أفريقيا للسلة,أفريقيا الوسطى,كوت ديفوار,16:00,67 - 93,2024-02-24
تصفيات أفريقيا للسلة,غينيا,تونس,18:00,78 - 85,2024-02-24
تصفيات أفريقيا للسلة,مدغشقر,مصر,19:00,66 - 97,2024-02-24
تصفيات أفريقيا للسلة,ليبيا,كاب فيردي,21:00,68 - 72,2024-02-24
الدوري السعودي,الطــائي,أهلي جدة,16:00,1 - 4,2024-02-24
الدوري السعودي,الحزم,الخليج,19:00,1 - 1,2024-02-24
الدوري الإيطالي,ساسولو,إمبولي,16:00,2 - 3,2024-02-24
الدوري الإيطالي,ساليرنيتانا,مونزا,19:00,0 - 2,2024-02-24
الدوري الإيطالي,جنوى,أودينيزي,21:45,2 - 0,2024-02-24
الدوري الألماني,مونشنجلادباخ,بوخوم,16:30,5 - 2,2024-02-24
الدوري الألماني,يونيون برلين,هايدنهايم,16:30,2 - 2,2024-02-24
الدوري الألماني,فيردر بريمن,دارمشتات,16:30,1 - 1,2024-02-24
الدوري الألماني,شتوتجارت,كولن,16:30,1 - 1,2024-02-24
الدوري الألماني,بايرن ميونيخ,لايبزيج,19:30,2 - 1,2024-02-24
الدوري الفرنسي,لوريان,نانت,18:00,0 - 1,2024-02-24
الدوري الفرنسي,ستراسبورج,بريست,22:00,0 - 3,2024-02-24
الدوري المغربي,الفتح الرباطي,الشباب الرياضي السالمي,17:00,1 - 0,2024-02-24
الدوري المغربي,المغرب التطواني,الرجاء البيضاوي,19:00,1 - 1,2024-02-24
الدوري المغربي,أولمبيك آسفي,نهضة الزمامرة,21:00,2 - 0,2024-02-24
دوري القسم الثاني-أ,بروكسي,حرس الحدود,15:00,0 - 1,2024-02-24
دوري القسم الثاني-أ,وادي دجلة,السكة الحديد,15:00,3 - 1,2024-02-24
دوري القسم الثاني-أ,راية الرياضي,لافيينا أف سي,15:00,2 - 1,2024-02-24
دوري القسم الثاني-أ,بتروجيت,طنطا‏,15:00,2 - 1,2024-02-24
دوري القسم الثاني-أ,غزل المحلة,القناة,17:30,2 - 0,2024-02-24
الدوري التركي,قيصري سبور,أنقرة جوتشو,12:30,3 - 2,2024-02-24
الدوري التركي,غازي عنتاب بي.بي.كي,إسطنبول باشاكشهير,15:00,0 - 2,2024-02-24
الدوري التركي,قونيا سبور,هاتاي سبور,18:00,2 - 0,2024-02-24
الدوري التركي,فنربخشة,قاسم باشا,18:00,2 - 1,2024-02-24
الدوري التونسي,قوافل قفصة,البنزرتي,15:00,1 - 0,2024-02-24
الدوري البرتغالي,فيرنسي,موريرنسي,17:30,0 - 1,2024-02-24
الدوري البرتغالي,إستريلا,شافيش,20:00,1 - 1,2024-02-24
الدوري البرتغالي,فيتوريا جيماريش,كازا بيا,22:30,0 - 2,2024-02-24
دوري نجوم قطر,نادي قطر,ام صلال,17:00,1 - 1,2024-02-24
دوري نجوم قطر,الغرافة,الأهلي القطري,19:00,1 - 2,2024-02-24
دوري نجوم قطر,المرخية الرياضي,معيذر,19:00,0 - 2,2024-02-24
الدوري الإماراتي,حتا,خورفكان,15:30,0 - 2,2024-02-24
الدوري الإماراتي,نادي الامارات,الوصل,15:30,0 - 2,2024-02-24
الدوري الإماراتي,الجــزيرة,النصر الإماراتي,18:00,2 - 3,2024-02-24
الدوري الإماراتي,الشــارقة,اتحاد كلباء,18:00,1 - 0,2024-02-24
الدوري المصري,فاركو,طلائع الجيش,16:00,1 - 1,2024-02-25
الدوري المصري,الاتحاد السكندري,البنك الاهلي,19:00,0 - 0,2024-02-25
الدوري الإنجليزي,وولفرهامبتون,شيفيلد يونايتد,15:30,1 - 0,2024-02-25
الدوري الإسباني,قادش,سيلتا فيجو,15:00,2 - 2,2024-02-25
الدوري الإسباني,ريال بيتيس,أتلتيك بلباو,17:15,3 - 1,2024-02-25
الدوري الإسباني,لاس بالماس,أوساسونا,19:30,1 - 1,2024-02-25
الدوري الإسباني,ريال مدريد,اشبيلية,22:00,1 - 0,2024-02-25
الكونفيدرالية الإفريقية,سوبر سبورت,مودرن فيوتشر,15:00,1 - 1,2024-02-25
الكونفيدرالية الإفريقية,الهلال الليبي,اتحاد العاصمة,18:00,2 - 1,2024-02-25
الكونفيدرالية الإفريقية,أبو سليم,الزمالك,18:00,1 - 2,2024-02-25
الكونفيدرالية الإفريقية,أكاديميكا لوبيتو,ريفرز يونايتد,18:00,2 - 3,2024-02-25
الكونفيدرالية الإفريقية,دريمز,الافريقي التونسي,18:00,1 - 0,2024-02-25
الكونفيدرالية الإفريقية,ستاد مالي,ديابل نوار,18:00,1 - 0,2024-02-25
الكونفيدرالية الإفريقية,سوار,ساجرادا اسبيرانسا,21:00,0 - 0,2024-02-25
الكونفيدرالية الإفريقية,سيخوخون يونايتد,نهضة بركان,21:00,0 - 0,2024-02-25
تصفيات أفريقيا للسلة,غينيا,كينيا,12:00,74 - 80,2024-02-25
تصفيات أفريقيا للسلة,ليبيا,أوغندا,15:00,71 - 59,2024-02-25
تصفيات أفريقيا للسلة,أفريقيا الوسطى,مدغشقر,16:00,69 - 76,2024-02-25
تصفيات أفريقيا للسلة,تونس,أنجولا,18:00,82 - 73,2024-02-25
تصفيات أفريقيا للسلة,كوت ديفوار,مصر,19:00,79 - 76,2024-02-25
تصفيات أفريقيا للسلة,كاب فيردي,نيجيريا,21:00,78 - 62,2024-02-25
الدوري السعودي,الفيحاء,أبها,16:00,3 - 2,2024-02-25
الدوري السعودي,الشباب,النصر,19:00,2 - 3,2024-02-25
الدوري الإيطالي,يوفنتوس,فروزينوني,13:30,3 - 2,2024-02-25
الدوري الإيطالي,كالياري,نابولي,16:00,1 - 1,2024-02-25
الدوري الإيطالي,ليتشي,إنتر ميلان,19:00,0 - 4,2024-02-25
الدوري الإيطالي,ميلان,أتالانتا,21:45,1 - 1,2024-02-25
الدوري الألماني,آ. فرانكفورت,فولفسبورج,16:30,2 - 2,2024-02-25
الدوري الألماني,بروسيا دورتموند,هوفنهايم,18:30,2 - 3,2024-02-25
الدوري الألماني,أوجسبورج,فرايبورج,20:30,2 - 1,2024-02-25
الدوري الفرنسي,لانس,موناكو,14:00,2 - 3,2024-02-25
الدوري الفرنسي,تولوز,ليل,16:00,3 - 1,2024-02-25
الدوري الفرنسي,نيس,كليرمونت,16:00,0 - 0,2024-02-25
الدوري الفرنسي,لوهافر,ريمس,16:00,1 - 2,2024-02-25
الدوري الفرنسي,باريس سان جيرمان,رين,18:05,1 - 1,2024-02-25
الدوري الفرنسي,مارسيليا,مونبيليه,21:45,4 - 1,2024-02-25
الدوري المغربي,حسنية اغادير,شباب المحمدية,17:00,2 - 0,2024-02-25
الدوري المغربي,الجيش الملكي,الاتحاد التوركي,19:00,3 - 0,2024-02-25
الدوري المغربي,المغرب الفاسي,مولودية وجدة,21:00,1 - 0,2024-02-25
الدوري التركي,سيفاسبور,بينديكسبور,12:30,4 - 1,2024-02-25
الدوري التركي,فاتح كاراجومروك,ألانيا سبور,15:00,1 - 1,2024-02-25
الدوري التركي,طرابزون سبور,أضنة دمير سبور,15:00,1 - 0,2024-02-25
الدوري التركي,إسطنبول سبور,بشكتاش,18:00,0 - 2,2024-02-25
الدوري التونسي,مستقبل المرسى,سليمان الرياضي,15:00,0 - 1,2024-02-25
الدوري التونسي,إتحاد بن قردان,اتحاد تطاوين,15:00,0 - 0,2024-02-25
الدوري التونسي,الأولمبي الباجي,النجم الرياضي بالمتلوي,15:00,2 - 1,2024-02-25
الدوري البرتغالي,فيزيلا,إستوريل,17:30,3 - 3,2024-02-25
الدوري البرتغالي,بنفيكا,بورتيمونينسي,20:00,4 - 0,2024-02-25
الدوري البرتغالي,جل فيسنتي,بورتو,20:00,1 - 1,2024-02-25
الدوري البرتغالي,ريو آفي,سبورتينج لشبونة,22:30,3 - 3,2024-02-25
دوري نجوم قطر,الوكرة,السد القطري,17:00,0 - 0,2024-02-25
دوري نجوم قطر,الدحيل,العربي,19:00,2 - 2,2024-02-25
دوري نجوم قطر,الريان,الشمال,19:00,2 - 1,2024-02-25
الدوري الإماراتي,شباب الأهلي,عجمان,15:30,3 - 0,2024-02-25
الدوري الإماراتي,البطائح,الوحـــدة,15:30,1 - 2,2024-02-25
الدوري الإماراتي,بني ياس,العين,18:00,0 - 1,2024-02-25
الدوري المصري,الجونة,الإسماعيلي,16:00,0 - 0,2024-02-26
الدوري المصري,زد,إنبي,16:00,0 - 1,2024-02-26
الدوري المصري,المقاولون العرب,المصري,19:00,0 - 1,2024-02-26
الدوري الإنجليزي,وست هام يونايتد,برينتفورد,22:00,4 - 2,2024-02-26
كأس الاتحاد الإنجليزي,كوفنتري سيتي,ميدستون يونايتد,21:45,5 - 0,2024-02-26
الدوري الإسباني,جيرونا,رايو فاييكانو,22:00,3 - 0,2024-02-26
الدوري السعودي,الاتفـــــاق,الهلال,16:00,0 - 2,2024-02-26
الدوري السعودي,الاتحاد,الوحدة,19:00,2 - 1,2024-02-26
الدوري الإيطالي,روما,تورينو,19:30,3 - 2,2024-02-26
الدوري الإيطالي,فيورنتينا,لاتسيو,21:45,2 - 1,2024-02-26
الدوري التركي,جالاتا سراي,انطاليا سبور,19:00,2 - 1,2024-02-26
الدوري البرتغالي,بوافيستا,سبورتينج براجا,22:15,0 - 4,2024-02-26
الدوري المصري,الأهلي,بلدية المحلة,19:00,5 - 1,2024-02-27
كأس الاتحاد الإنجليزي,بورنموث,ليستر سيتي,21:30,0 - 1,2024-02-27
